,goal combination,count,pick count
72,"['Green Gauntlets', 'Light Arrows']",3,1
73,"['7 Different Bottled Contents', 'Green Gauntlets']",3,1
74,"['1 Skulltula from each Adult Dungeon', 'All 8 Zoras Domain area Skulltulas']",3,1
75,"['1 Skulltula from each Adult Dungeon', 'Defeat Meg (purple Poe)']",3,2
76,"['Quiver (40)', 'Two Fairy Spells']",3,1
77,"['1 Skulltula from each Adult Dungeon', 'All 4 Child Skulltulas in Zoras Domain Area']",3,1
78,"['4 Unused Keys in Forest Temple', 'All 3 Elemental Arrows']",3,1
79,"['1 Skulltula from each Adult Dungeon', 'Map & Compass in Fire Temple']",3,1
80,"['1 Skulltula from each Adult Dungeon', '5 Zora area HPs']",3,2
81,"['30 Different Skulltulas', 'Defeat Volvagia', 'Map & Compass in Dodongos Cavern']",3,1
82,"['All 5 Skulltulas in Spirit Temple', 'Open All 6 Gold Rupee Chests']",3,1
83,"['10 Songs', 'All 5 Lake Hylia Skulltulas']",3,1
84,"['Gerudos Card', 'Two Fairy Spells']",3,1
85,"['10 Songs', 'Map & Compass in Ice Cavern']",3,1
86,"['3 Shields & 3 Tunics', 'All 3 Elemental Arrows']",3,1
87,"['1 Skulltula from each Adult Dungeon', '7 Different Unused Keys in Gerudo Training Grounds']",3,1
88,"['Defeat Meg (purple Poe)', 'Obtain all 8 Small Keys in Fire Temple']",3,1
89,"['3 Swords & 3 Shields', 'Two Fairy Spells']",3,1
90,"['Both Rusty Switches in Spirit Temple', 'Dins Fire']",3,1
91,"['30 Different Skulltulas', '6 Compasses']",3,1
92,"['Giants Knife', 'Map & Compass in Jabu-Jabu']",3,1
93,"['Both HPs in Lost Woods', 'Open 2 Boss Key Doors']",3,1
94,"['Defeat Volvagia', 'Map & Compass in Dodongos Cavern']",3,1
95,"['20 Different Skulltulas', 'Open All 6 Gold Rupee Chests']",3,1
96,"['3 Swords, Tunics, Boots, and Shields', 'Exactly 30 Deku Sticks']",3,1
97,"['7 Compasses', 'All 4 Market area Skulltulas']",3,1
98,"['7 Maps', 'Fire Temple Boss Key']",3,2
99,"['7 Maps', 'Green Gauntlets']",3,1
100,"['7 Maps', 'Defeat Twinrova', 'Double Defense']",3,1
101,"['20 Different Skulltulas', '5 Hearts']",3,1
102,"['All 3 Elemental Arrows', 'All 4 Lost Woods area Skulltulas']",3,1
103,"['7 Maps', 'Map & Compass in Dodongos Cavern']",3,1
104,"['15 Different Skulltulas', '7 Compasses']",3,1
105,"['10 Songs', 'Map & Compass in Dodongos Cavern']",3,1
106,"['Clear 8 Silver Rupee Rooms', 'Giants Knife']",3,1
107,"['Defeat both Flare Dancers', 'Two Fairy Spells']",3,1
108,"['7 Maps', 'Beat the Spirit Temple', 'Fire Temple Boss Key']",3,1
109,"['3 Swords & 3 Tunics', '7 Compasses']",3,1
110,"['Light Arrows', 'Open 3 Boss Key Doors']",3,1
111,"['30 Different Skulltulas', '4 Songs']",3,1
112,"['2 Skulltulas in Lon Lon Ranch', 'All 3 Elemental Arrows', 'All 4 Market area Skulltulas']",3,1
113,"['20 Different Skulltulas', '5 Hearts', 'All 5 Skulltulas in Spirit Temple', 'Open All 6 Gold Rupee Chests']",2,1
114,"['2 Boss Keys', '30 Different Skulltulas', '7 Maps', '7 Songs']",2,1
115,"['5 Zora area HPs', 'All 3 Elemental Arrows', 'Beat the Fire Temple', 'Map & Compass in Dodongos Cavern']",2,1
116,"['3 Tunics', 'All 8 Zoras Domain area Skulltulas']",2,1
117,"['Beat the Spirit Temple', 'Defeat King Dodongo']",2,2
118,"['Defeat King Dodongo', 'Two Fairy Spells']",2,2
119,"['10 Songs', 'Sarias Song']",2,1
120,"['10 Songs', '5 Hearts']",2,1
121,"['3 Swords, Tunics, Boots, and Shields', 'Defeat Meg (purple Poe)', 'Obtain all 8 Small Keys in Fire Temple']",2,1
122,"['5 Hearts', 'Sarias Song']",2,1
123,"['All 5 Skulltulas in Spirit Temple', 'Sarias Song']",2,1
124,"['5 Hearts', 'Map & Compass in Spirit Temple']",2,1
125,"['Longshot', 'Open All 6 Gold Rupee Chests']",2,1
126,"['10 Songs', '500 Rupees']",2,1
127,"['Silver Scale', 'Two Fairy Spells']",2,2
128,"['7 Compasses', 'Map & Compass in Dodongos Cavern', 'Quiver (50)']",2,1
129,"['9 Songs', 'Two Fairy Spells']",2,2
130,"['9 Songs', 'Beat the Spirit Temple']",2,2
131,"['Obtain all 5 Small Keys in Shadow Temple', 'Open All 6 Gold Rupee Chests']",2,1
132,"['All 5 Skulltulas in Forest Temple', 'Obtain all 5 Small Keys in Shadow Temple']",2,1
133,"['4 Compasses', 'Obtain all 5 Small Keys in Shadow Temple']",2,1
134,"['All 3 Elemental Arrows', 'Both Gerudo Valley HPs']",2,1
135,"['1 Unused Small Key in each Adult Dungeon', 'Open the Final Door of Water Trial']",2,1
136,"['4 Compasses', 'All 3 Elemental Arrows']",2,1
137,"['3 Tunics', 'Free all 9 Gorons in Fire Temple']",2,1
138,"['15 Different Skulltulas', 'Light Arrows', 'Open 3 Boss Key Doors']",2,1
139,"['Beat the Spirit Temple', 'Defeat King Dodongo', 'Two Fairy Spells']",2,2
140,"['8 Songs', 'Map & Compass in Ice Cavern']",2,1
141,"['3 Skulltulas in Water Temple', 'Goron Bracelet']",2,1
142,"['8 Songs', '9 Hearts (no duping)']",2,1
143,"['Minuet of Forest', 'Obtain all 8 Small Keys in Fire Temple']",2,1
144,"['3 Swords, Tunics, Boots, and Shields', 'Obtain all 8 Small Keys in Fire Temple']",2,1
145,"['15 Different Skulltulas', '8 Hearts (no duping)']",2,1
146,"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', '5 Zora area HPs', 'All 5 Skulltulas in Spirit Temple']",2,1
147,"['15 Different Skulltulas', 'Map & Compass in Dodongos Cavern']",2,1
148,"['Clear 8 Silver Rupee Rooms', 'Map & Compass in Spirit Temple']",2,1
149,"['All 5 Lake Hylia Skulltulas', 'Map & Compass in Dodongos Cavern']",2,1
150,"['500 Rupees', 'Map & Compass in Fire Temple']",2,1
151,"['9 Songs', 'Beat the Spirit Temple', 'Two Fairy Spells']",2,2
152,"['10 Songs', '5 Hearts', 'Sarias Song']",2,1
153,"['1 Skulltula from each Adult Dungeon', 'Beat Dodongos Cavern', 'Bottled Fairy', 'Defeat Meg (purple Poe)']",2,1
154,"['1 Skulltula from each Adult Dungeon', 'All 4 Child Skulltulas in Zoras Domain Area', 'Exactly 30 Deku Sticks']",2,1
155,"['1 Skulltula from each Adult Dungeon', '5 Zora area HPs', 'Golden Gauntlets']",2,1
156,"['Beat Dodongos Cavern', 'Bottled Fairy']",2,1
157,"['2 Skulltulas in Lon Lon Ranch', 'Fire Medallion']",2,1
158,"['2 Skulltulas in Lon Lon Ranch', 'All 5 Skulltulas in Spirit Temple']",2,1
159,"['Beat Dodongos Cavern', 'Defeat Meg (purple Poe)']",2,2
160,"['Bottled Fairy', 'Defeat Meg (purple Poe)']",2,1
161,"['6 Compasses', 'All 3 Elemental Arrows', 'Exactly 30 Deku Sticks']",2,1
162,"['1 Skulltula from each Adult Dungeon', 'Bottled Fairy']",2,1
163,"['1 Skulltula from each Adult Dungeon', 'All 5 Skulltulas in Spirit Temple']",2,1
164,"['3 Shields & 3 Tunics', 'Exactly 30 Deku Sticks']",2,1
165,"['All 3 Kokiri Forest area Skulltulas', 'Defeat Volvagia']",2,1
166,"['2 Skulltulas in Lon Lon Ranch', '5 Zora area HPs']",2,2
167,"['1 Skulltula from each Adult Dungeon', 'All 3 Kokiri Forest area Skulltulas']",2,1
168,"['4 Unused Keys in Forest Temple', 'Both Rusty Switches in Spirit Temple']",2,1
169,"['30 Different Skulltulas', 'Nayrus Love']",2,1
170,"['6 Compasses', 'Exactly 30 Deku Sticks']",2,1
171,"['Map & Compass in Fire Temple', 'Two Fairy Spells']",2,1
172,"['7 Compasses', 'Map & Compass in Shadow Temple', 'Open 2 Boss Key Doors']",2,1
173,"['7 Maps', 'Fire Temple Boss Key', 'Obtain all 8 Small Keys in Fire Temple']",2,1
174,"['Beat the Spirit Temple', 'Fire Temple Boss Key', 'Obtain all 8 Small Keys in Fire Temple']",2,1
175,"['Fire Temple Boss Key', 'Obtain all 8 Small Keys in Fire Temple']",2,1
176,"['Beat the Water Temple', 'Defeat Meg (purple Poe)']",2,1
177,"['Beat the Water Temple', 'Open All 6 Gold Rupee Chests']",2,1
178,"['4 Compasses', 'Obtain all 5 Small Keys in Shadow Temple', 'Open All 6 Gold Rupee Chests']",2,1
179,"['1 Skulltula from each Adult Dungeon', 'Bottled Fairy', 'Defeat Meg (purple Poe)']",2,1
180,"['Light Arrows', 'Longshot']",2,1
181,"['15 Different Skulltulas', 'Light Arrows']",2,1
182,"['1 Skulltula from each Adult Dungeon', 'Beat Dodongos Cavern', 'Bottled Fairy']",2,1
183,"['7 Maps', 'All 5 Skulltulas in Fire Temple', 'Giants Knife']",2,1
184,"['Beat Dodongos Cavern', 'Bottled Fairy', 'Defeat Meg (purple Poe)']",2,1
185,"['1 Skulltula from each Adult Dungeon', 'Beat Dodongos Cavern', 'Defeat Meg (purple Poe)']",2,2
186,"['7 Compasses', 'Quiver (50)']",2,1
187,"['Map & Compass in Dodongos Cavern', 'Quiver (50)']",2,1
188,"['15 Different Skulltulas', 'Open 3 Boss Key Doors']",2,1
189,"['7 Compasses', 'Map & Compass in Dodongos Cavern']",2,1
190,"['30 Different Skulltulas', 'Defeat Big Octo', 'Giants Knife']",2,1
191,"['7 Compasses', 'Open 2 Boss Key Doors']",2,1
192,"['Map & Compass in Shadow Temple', 'Open 2 Boss Key Doors']",2,1
193,"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', '5 Zora area HPs']",2,1
194,"['1 Skulltula from each Adult Dungeon', '5 Zora area HPs', 'All 5 Skulltulas in Spirit Temple']",2,1
195,"['2 Skulltulas in Lon Lon Ranch', '5 Zora area HPs', 'All 5 Skulltulas in Spirit Temple']",2,1
196,"['5 Zora area HPs', 'Golden Gauntlets']",2,1
197,"['All 5 Skulltulas in Spirit Temple', 'Golden Gauntlets']",2,1
198,"['All 4 Child Skulltulas in Zoras Domain Area', 'Exactly 30 Deku Sticks']",2,1
199,"['6 Hearts', 'Beat the Fire Temple']",2,1
200,"['7 Maps', 'Beat the Spirit Temple', 'Fire Temple Boss Key', 'Obtain all 8 Small Keys in Fire Temple']",2,1
201,"['1 Skulltula from each Adult Dungeon', 'Golden Gauntlets']",2,1
202,"['2 Skulltulas in Lon Lon Ranch', '5 Zora area HPs', 'All 3 Elemental Arrows']",2,1
203,"['1 Skulltula from each Adult Dungeon', 'Exactly 30 Deku Sticks']",2,1
204,"['1 Skulltula from each Adult Dungeon', '2 Skulltulas in Lon Lon Ranch', 'All 5 Skulltulas in Spirit Temple']",2,1
205,"['7 Different Bottled Contents', 'Open 3 Boss Key Doors']",2,1
206,"['30 Different Skulltulas', 'Defeat Big Octo']",2,1
207,"['All 5 Skulltulas in Fire Temple', 'Map & Compass in Shadow Temple']",2,1
208,"['All 5 Skulltulas in Fire Temple', 'Giants Knife']",2,1
209,"['All 4 Market area Skulltulas', 'Map & Compass in Shadow Temple']",2,1
210,"['Giants Knife', 'Map & Compass in Shadow Temple']",2,1
211,"['7 Maps', 'All 5 Skulltulas in Fire Temple']",2,1
212,"['7 Maps', 'Giants Knife']",2,1
213,"['Defeat Big Octo', 'Giants Knife']",2,1
214,"['1 Skulltula from each Adult Dungeon', '3 Tunics']",2,1
215,"['30 Different Skulltulas', '8 Songs', 'Defeat Volvagia']",2,1
216,"['4 Unused Keys in Forest Temple', 'Dins Fire']",2,1
217,"['8 Songs', 'Bolero of Fire', 'Defeat Volvagia']",2,1
218,"['4 Unused Keys in Forest Temple', 'Quiver (40)']",2,1
219,"['1 Skulltula from each Adult Dungeon', 'Quiver (40)', 'Two Fairy Spells']",2,1
220,"['30 Different Skulltulas', '7 Maps', '7 Songs']",2,1
221,"['2 Boss Keys', '7 Maps', '7 Songs']",2,1
222,"['1 Skulltula from each Adult Dungeon', '7 Different Unused Keys in Gerudo Training Grounds', 'Defeat Volvagia']",2,1
223,"['7 Hearts (no duping)', 'All 4 Market area Skulltulas']",2,1
224,"['7 Hearts (no duping)', 'Exactly 30 Deku Sticks']",2,1
225,"['7 Different Bottled Contents', 'Light Arrows']",2,1
226,"['30 Different Skulltulas', 'Bolero of Fire', 'Defeat Volvagia']",2,1
227,"['7 Compasses', 'Golden Gauntlets']",2,1
228,"['7 Compasses', 'Minuet of Forest']",2,1
229,"['Clear 8 Silver Rupee Rooms', 'Giants Knife', 'Open All 6 Gold Rupee Chests']",2,1
230,"['7 Compasses', 'All 4 Market area Skulltulas', 'Golden Gauntlets']",2,1
231,"['Defeat Dark Link', 'Defeat Twinrova', 'Quiver (40)']",2,1
232,"['7 Maps', 'Double Defense', 'Quiver (40)']",2,1
233,"['7 Maps', 'Defeat Twinrova', 'Quiver (40)']",2,1
234,"['30 Different Skulltulas', '7 Maps', 'Defeat Volvagia', 'Map & Compass in Dodongos Cavern']",2,1
235,"['Defeat Twinrova', 'Double Defense', 'Quiver (40)']",2,1
236,"['5 Zora area HPs', 'Quiver (40)']",2,1
237,"['5 Zora area HPs', 'Dins Fire']",2,1
238,"['Defeat 4 Different Iron Knuckles', 'Goron Tunic']",2,1
239,"['Clear 8 Silver Rupee Rooms', 'Defeat both Flare Dancers', 'Two Fairy Spells']",2,1
240,"['Bolero of Fire', 'Defeat Twinrova', 'Two Fairy Spells']",2,1
241,"['30 Different Skulltulas', '6 Compasses', 'Bolero of Fire']",2,1
242,"['20 Different Skulltulas', '5 Hearts', 'All 5 Skulltulas in Spirit Temple']",2,1
243,"['Map & Compass in Spirit Temple', 'Minuet of Forest', 'Sarias Song']",2,1
244,"['2 Boss Keys', '30 Different Skulltulas', '7 Songs']",2,1
245,"['20 Different Skulltulas', 'All 5 Skulltulas in Spirit Temple', 'Open All 6 Gold Rupee Chests']",2,1
246,"['5 Hearts', 'All 5 Skulltulas in Spirit Temple', 'Open All 6 Gold Rupee Chests']",2,1
247,"['5 Zora area HPs', 'Map & Compass in Dodongos Cavern']",2,1
248,"['6 Compasses', 'Bolero of Fire']",2,1
249,"['3 Tunics & 3 Boots', 'Beat the Fire Temple']",2,1
250,"['1 Skulltula from each Adult Dungeon', 'Water Medallion']",2,1
251,"['Defeat Dark Link', 'Defeat Twinrova']",2,1
252,"['Defeat Dark Link', 'Quiver (40)']",2,1
253,"['1 Skulltula from each Adult Dungeon', 'Fairy Slingshot']",2,1
254,"['Both Rusty Switches in Spirit Temple', 'Quiver (40)']",2,1
255,"['Defeat 4 Different Iron Knuckles', 'Open All 6 Gold Rupee Chests']",2,1
256,"['10 Songs', 'Beat the Fire Temple']",2,1
257,"['20 Different Skulltulas', '5 Hearts', 'Open All 6 Gold Rupee Chests']",2,1
258,"['7 Different Bottled Contents', 'Green Gauntlets', 'Light Arrows']",2,1
259,"['7 Maps', 'Map & Compass in Jabu-Jabu']",2,1
260,"['1 Skulltula from each Adult Dungeon', '5 Magic Beans']",2,1
261,"['Bolero of Fire', 'Map & Compass in Fire Temple']",2,1
262,"['1 Skulltula from each Adult Dungeon', 'Bullet Bag (50)', 'Defeat Volvagia']",2,1
263,"['Dins Fire', 'Map & Compass in Fire Temple']",2,1
264,"['Defeat Twinrova', 'Milk']",2,1
265,"['1 Skulltula from each Adult Dungeon', '5 Hearts', 'All 5 Skulltulas in Forest Temple']",2,1
266,"['All 4 Lost Woods area Skulltulas', 'All 5 Skulltulas in Fire Temple']",2,1
267,"['Open the Final Door of Water Trial', 'Sarias Song']",2,1
268,"['30 Different Skulltulas', 'Requiem of Spirit']",2,1
269,"['1 Skulltula from each Adult Dungeon', 'Dins Fire', 'Gerudos Card']",2,1
270,"['10 Songs', 'Map & Compass in Jabu-Jabu']",2,1
271,"['10 Songs', 'Giants Knife']",2,1
272,"['All 3 Elemental Arrows', 'Defeat Dark Link', 'Exactly 30 Deku Sticks']",2,1
273,"['1 Skulltula from each Adult Dungeon', 'Open 3 Gold Rupee Chests']",2,1
274,"['Map & Compass in Spirit Temple', 'Sarias Song']",2,3
275,"['8 Songs', 'Bolero of Fire']",2,1
276,"['3 Swords & 3 Shields', 'Map & Compass in Dodongos Cavern']",2,1
277,"['7 Maps', 'Minuet of Forest']",2,1
278,"['4 Unused Keys in Forest Temple', 'Dins Fire', 'Quiver (40)']",2,1
279,"['Bolero of Fire', 'Open the Final Door of Forest Trial']",2,1
280,"['10 Songs', 'Giants Knife', 'Map & Compass in Jabu-Jabu']",2,1
281,"['8 Songs', 'Two Fairy Spells']",2,1
282,"['All 3 Elemental Arrows', 'Defeat Dark Link']",2,1
283,"['Map & Compass in Bottom of the Well', 'Open the Final Door of Shadow Trial']",2,2
284,"['2 Boss Keys', '7 Compasses']",2,1
285,"['Defeat 4 Different Iron Knuckles', 'Minuet of Forest']",2,1
286,"['3 Swords & 3 Shields', '500 Rupees']",2,1
287,"['1 Skulltula from each Adult Dungeon', 'Gerudos Card', 'Two Fairy Spells']",2,1
288,"['2 Skulltulas in Lon Lon Ranch', '3 Swords & 3 Shields']",2,1
289,"['Bolero of Fire', 'Two Fairy Spells']",2,1
290,"['Defeat Twinrova', 'Two Fairy Spells']",2,1
291,"['8 Hearts (no duping)', 'Bolero of Fire']",2,1
292,"['7 Maps', 'Defeat Twinrova', 'Double Defense', 'Quiver (40)']",2,1
293,"['All 4 Market area Skulltulas', 'Golden Gauntlets']",2,1
294,"['5 Hearts', 'All 5 Skulltulas in Forest Temple']",2,2
295,"['7 Maps', 'Clear 4 Silver Rupee Rooms']",2,1
296,"['30 Different Skulltulas', '7 Songs']",2,1
297,"['2 Boss Keys', '7 Songs']",2,1
298,"['Bolero of Fire', 'Defeat Volvagia']",2,1
299,"['Map & Compass in Spirit Temple', 'Minuet of Forest']",2,1
300,"['30 Different Skulltulas', '8 Songs', 'Bolero of Fire', 'Defeat Volvagia']",2,1
301,"['7 Maps', '7 Songs']",2,1
302,"['2 Skulltulas in Lon Lon Ranch', '500 Rupees']",2,1
303,"['All 3 Elemental Arrows', 'All 4 Lost Woods area Skulltulas', 'All 5 Skulltulas in Fire Temple']",2,1
304,"['8 Songs', 'Defeat Volvagia']",2,1
305,"['500 Rupees', 'Two Fairy Spells']",2,2
306,"['7 Maps', 'Quiver (40)']",2,1
307,"['2 Boss Keys', '30 Different Skulltulas']",2,1
308,"['Double Defense', 'Quiver (40)']",2,1
309,"['2 Boss Keys', '7 Maps']",2,1
310,"['5 Zora area HPs', 'All 3 Elemental Arrows', 'Map & Compass in Dodongos Cavern']",2,1
311,"['2 Boss Keys', '30 Different Skulltulas', '7 Maps']",2,1
312,"['Golden Gauntlets', 'Map & Compass in Shadow Temple']",2,1
313,"['1 Skulltula from each Adult Dungeon', 'Gerudos Card']",2,2
314,"['Dins Fire', 'Gerudos Card']",2,1
315,"['30 Different Skulltulas', '8 Hearts (no duping)', 'Bolero of Fire']",2,1
316,"['2 Skulltulas in Lon Lon Ranch', '3 Swords & 3 Shields', '500 Rupees']",2,1
317,"['Gerudos Card', 'Quiver (40)']",2,1
318,"['Defeat Big Octo', 'Mirror Shield']",2,1
319,"['Clear 8 Silver Rupee Rooms', 'Defeat both Flare Dancers']",2,1
320,"['3 Swords & 3 Tunics', 'Beat the Spirit Temple']",2,1
321,"['7 Maps', 'Defeat Volvagia', 'Map & Compass in Dodongos Cavern']",2,1
322,"['5 Zora area HPs', 'Dins Fire', 'Quiver (40)']",2,1
323,"['7 Maps', 'Beat the Spirit Temple', 'Minuet of Forest']",2,1
324,"['7 Different Unused Keys in Gerudo Training Grounds', 'Defeat Volvagia']",2,1
325,"['30 Different Skulltulas', '8 Songs', 'Bolero of Fire']",2,1
326,"['1 Skulltula from each Adult Dungeon', 'Bullet Bag (50)']",2,1
327,"['Clear 8 Silver Rupee Rooms', 'Open All 6 Gold Rupee Chests']",2,1
328,"['Clear 8 Silver Rupee Rooms', 'Two Fairy Spells']",2,1
329,"['Giants Knife', 'Open All 6 Gold Rupee Chests']",2,2
330,"['Bullet Bag (50)', 'Defeat Volvagia']",2,1
331,"['Eponas Song', 'Open All 6 Gold Rupee Chests']",2,2
332,"['5 Zora area HPs', 'Beat the Fire Temple', 'Map & Compass in Dodongos Cavern']",2,1
333,"['3 Shields & 3 Tunics', '7 Hearts (no duping)']",2,1
334,"['3 Lake Hylia Skulltulas', '3 Skulltulas in Water Temple']",2,1
335,"['20 Different Skulltulas', 'All 5 Skulltulas in Spirit Temple']",2,1
336,"['Map & Compass in Dodongos Cavern', 'Two Fairy Spells']",2,1
337,"['1 Skulltula from each Adult Dungeon', 'Keaton Mask']",2,1
338,"['All 5 Skulltulas in Spirit Temple', 'Eponas Song']",2,1
339,"['5 Hearts', 'All 5 Skulltulas in Spirit Temple']",2,2
340,"['All 3 Elemental Arrows', 'Open the Final Door of Spirit Trial']",2,1
341,"['All 3 Elemental Arrows', 'Bullet Bag (40)']",2,1
342,"['Goron Tunic', 'Open All 6 Gold Rupee Chests']",2,1
343,"['5 Hearts', 'Open All 6 Gold Rupee Chests']",2,1
344,"['3 Skulltulas in Water Temple', 'All 3 Elemental Arrows']",2,1
345,"['6 Compasses', 'Exactly 20 Deku Sticks', 'Light Arrows', 'Longshot', 'Open All 6 Gold Rupee Chests']",1,1
346,"['6 Compasses', 'Exactly 20 Deku Sticks', 'Light Arrows', 'Longshot']",1,1
347,"['6 Compasses', 'Exactly 20 Deku Sticks', 'Longshot', 'Open All 6 Gold Rupee Chests']",1,1
348,"['Exactly 20 Deku Sticks', 'Light Arrows', 'Longshot', 'Open All 6 Gold Rupee Chests']",1,1
349,"['6 Compasses', 'Exactly 20 Deku Sticks', 'Light Arrows', 'Open All 6 Gold Rupee Chests']",1,1
350,"['6 Compasses', 'Light Arrows', 'Longshot', 'Open All 6 Gold Rupee Chests']",1,1
351,"['15 Different Skulltulas', '3 Swords & 3 Shields', '7 Compasses', 'Map & Compass in Dodongos Cavern']",1,1
352,"['3 Swords & 3 Shields', '7 Compasses', 'Map & Compass in Dodongos Cavern', 'Quiver (50)']",1,1
353,"['15 Different Skulltulas', '3 Swords & 3 Shields', 'Map & Compass in Dodongos Cavern', 'Quiver (50)']",1,1
354,"['15 Different Skulltulas', '7 Compasses', 'Map & Compass in Dodongos Cavern', 'Quiver (50)']",1,1
355,"['15 Different Skulltulas', '3 Swords & 3 Shields', '7 Compasses', 'Quiver (50)']",1,1
