goal combination,count,pick count
"['2 Skulltulas in Lon Lon Ranch', 'Open All 6 Gold Rupee Chests']",6,1
"['20 Different Skulltulas', 'All 3 Elemental Arrows']",10,2
"['3 Boots', 'All 3 Elemental Arrows']",11,6
"['3 Boots', 'Open All 6 Gold Rupee Chests']",6,2
"['3 Boss Keys', '30 Different Skulltulas']",8,1
"['3 Lake Hylia Skulltulas', 'Clear 10 Silver Rupee Rooms']",6,1
"['3 Shields & 3 Boots', '30 Different Skulltulas']",18,10
"['3 Shields & 3 Boots', '8 Hearts (no duping)']",6,3
"['3 Shields & 3 Boots', '9 Hearts (no duping)']",8,0
"['3 Shields & 3 Boots', 'All 3 Elemental Arrows']",15,2
"['3 Shields & 3 Boots', 'All 3 Skulltulas in Bottom of the Well']",7,2
"['3 Shields & 3 Boots', 'All 4 Lon Lon Ranch area Skulltulas']",7,0
"['3 Shields & 3 Boots', 'All 5 Skulltulas in Fire Temple']",6,7
"['3 Shields & 3 Boots', 'All 8 Zoras Domain area Skulltulas']",7,1
"['3 Shields & 3 Boots', 'Beat the Fire Temple']",6,1
"['3 Shields & 3 Boots', 'Defeat Volvagia']",7,2
"['3 Shields & 3 Boots', 'Defeat both Flare Dancers']",6,1
"['3 Shields & 3 Boots', 'Fire Temple Boss Key']",8,3
"['3 Shields & 3 Boots', 'Free all 9 Gorons in Fire Temple']",6,3
"['3 Shields & 3 Boots', 'Giants Wallet']",6,0
"['3 Shields & 3 Boots', 'Green Gauntlets']",12,4
"['3 Shields & 3 Boots', 'Keaton Mask']",6,2
"['3 Shields & 3 Boots', 'Light Arrows']",7,2
"['3 Shields & 3 Boots', 'Longshot']",6,0
"['3 Shields & 3 Boots', 'Map & Compass in Forest Temple']",7,1
"['3 Shields & 3 Boots', 'Megaton Hammer']",6,2
"['3 Shields & 3 Boots', 'Open 3 Gold Rupee Chests']",10,5
"['3 Shields & 3 Boots', 'Open All 6 Gold Rupee Chests']",12,1
"['3 Shields & 3 Boots', 'Open the Final Door of Forest Trial']",6,1
"['3 Shields & 3 Boots', 'Plant 5 Magic Beans']",6,3
"['3 Shields & 3 Boots', 'Quiver (40)']",6,4
"['3 Shields & 3 Boots', 'Sarias Song']",6,0
"['3 Shields & 3 Tunics', '30 Different Skulltulas']",6,1
"['3 Shields & 3 Tunics', 'All 3 Elemental Arrows']",14,3
"['3 Shields & 3 Tunics', 'Open All 6 Gold Rupee Chests']",15,1
"['3 Shields', '30 Different Skulltulas']",10,6
"['3 Shields', 'All 3 Elemental Arrows']",8,0
"['3 Shields', 'Green Gauntlets']",7,3
"['3 Skulltulas in Water Temple', 'Both Rusty Switches in Spirit Temple']",8,0
"['3 Songs', 'All 3 Elemental Arrows']",6,0
"['3 Swords & 3 Boots', '30 Different Skulltulas']",8,0
"['3 Swords & 3 Boots', 'All 3 Elemental Arrows']",10,0
"['3 Swords & 3 Boots', 'Green Gauntlets']",6,0
"['3 Swords & 3 Shields', '30 Different Skulltulas']",9,4
"['3 Swords & 3 Shields', '9 Hearts (no duping)']",8,2
"['3 Swords & 3 Shields', 'All 3 Elemental Arrows']",13,3
"['3 Swords & 3 Shields', 'Clear 10 Silver Rupee Rooms']",11,1
"['3 Swords & 3 Shields', 'Goron Bracelet']",9,0
"['3 Swords & 3 Shields', 'Open All 6 Gold Rupee Chests']",7,1
"['3 Swords, Tunics, Boots, and Shields', '30 Deku Nuts']",8,2
"['3 Swords, Tunics, Boots, and Shields', '4 Skulltulas in Shadow Temple']",10,0
"['3 Swords, Tunics, Boots, and Shields', '5 Magic Beans']",11,0
"['3 Swords, Tunics, Boots, and Shields', '7 Different Unused Keys in Gerudo Training Grounds']",6,0
"['3 Swords, Tunics, Boots, and Shields', '8 Different Unused Keys in Gerudo Training Grounds']",6,2
"['3 Swords, Tunics, Boots, and Shields', '8 Hearts (no duping)']",7,6
"['3 Swords, Tunics, Boots, and Shields', 'All 3 Skulltulas in Bottom of the Well']",6,1
"['3 Swords, Tunics, Boots, and Shields', 'All 4 Wasteland/ Colossus area Skulltulas']",7,0
"['3 Swords, Tunics, Boots, and Shields', 'All 5 Skulltulas in Fire Temple']",6,0
"['3 Swords, Tunics, Boots, and Shields', 'All 8 Zoras Domain area Skulltulas']",11,0
"['3 Swords, Tunics, Boots, and Shields', 'Beat Jabu-Jabus Belly']",6,0
"['3 Swords, Tunics, Boots, and Shields', 'Beat the Fire Temple']",11,2
"['3 Swords, Tunics, Boots, and Shields', 'Beat the Forest Temple']",8,0
"['3 Swords, Tunics, Boots, and Shields', 'Bolero of Fire']",7,0
"['3 Swords, Tunics, Boots, and Shields', 'Bomb Bag (30)']",8,3
"['3 Swords, Tunics, Boots, and Shields', 'Bullet Bag (50)']",12,3
"['3 Swords, Tunics, Boots, and Shields', 'Defeat Volvagia']",6,0
"['3 Swords, Tunics, Boots, and Shields', 'Defeat both Flare Dancers']",7,0
"['3 Swords, Tunics, Boots, and Shields', 'Desert Colossus HP']",8,4
"['3 Swords, Tunics, Boots, and Shields', 'Dins Fire']",14,4
"['3 Swords, Tunics, Boots, and Shields', 'Exactly 20 Deku Sticks']",9,0
"['3 Swords, Tunics, Boots, and Shields', 'Exactly 30 Deku Sticks']",9,0
"['3 Swords, Tunics, Boots, and Shields', 'Fire Medallion']",12,2
"['3 Swords, Tunics, Boots, and Shields', 'Fire Temple Boss Key']",6,2
"['3 Swords, Tunics, Boots, and Shields', 'Free all 9 Gorons in Fire Temple']",11,1
"['3 Swords, Tunics, Boots, and Shields', 'Ganons Castle Boss Key']",7,0
"['3 Swords, Tunics, Boots, and Shields', 'Giants Wallet']",6,4
"['3 Swords, Tunics, Boots, and Shields', 'Goron Bracelet']",15,0
"['3 Swords, Tunics, Boots, and Shields', 'Green Gauntlets']",13,0
"['3 Swords, Tunics, Boots, and Shields', 'Lens of Truth']",9,1
"['3 Swords, Tunics, Boots, and Shields', 'Light Arrows']",9,2
"['3 Swords, Tunics, Boots, and Shields', 'Map & Compass in Bottom of the Well']",10,1
"['3 Swords, Tunics, Boots, and Shields', 'Map & Compass in Dodongos Cavern']",7,1
"['3 Swords, Tunics, Boots, and Shields', 'Map & Compass in Fire Temple']",6,0
"['3 Swords, Tunics, Boots, and Shields', 'Map & Compass in Forest Temple']",6,0
"['3 Swords, Tunics, Boots, and Shields', 'Nayrus Love']",7,0
"['3 Swords, Tunics, Boots, and Shields', 'Obtain all 5 Small Keys in Forest Temple']",9,2
"['3 Swords, Tunics, Boots, and Shields', 'Obtain all 5 Small Keys in Shadow Temple']",12,1
"['3 Swords, Tunics, Boots, and Shields', 'Open 2 Boss Key Doors']",6,2
"['3 Swords, Tunics, Boots, and Shields', 'Open 3 Boss Key Doors']",13,4
"['3 Swords, Tunics, Boots, and Shields', 'Open the Final Door of Shadow Trial']",8,2
"['3 Swords, Tunics, Boots, and Shields', 'Open the Final Door of Water Trial']",10,0
"['3 Swords, Tunics, Boots, and Shields', 'Plant 5 Magic Beans']",6,0
"['3 Swords, Tunics, Boots, and Shields', 'Quiver (40)']",9,4
"['3 Swords, Tunics, Boots, and Shields', 'Rutos Letter']",8,1
"['3 Swords, Tunics, Boots, and Shields', 'Spirit Temple Boss Key']",7,1
"['3 Tunics', '30 Different Skulltulas']",9,0
"['3 Tunics', 'Both Rusty Switches in Spirit Temple']",6,4
"['3 Tunics', 'Defeat Volvagia']",6,2
"['3 Tunics', 'Green Gauntlets']",9,3
"['30 Deku Nuts', 'All 3 Elemental Arrows']",6,7
"['30 Deku Nuts', 'All 8 Zoras Domain area Skulltulas']",7,3
"['30 Deku Nuts', 'Dins Fire']",6,4
"['30 Deku Nuts', 'Green Gauntlets']",8,3
"['30 Deku Nuts', 'Open All 6 Gold Rupee Chests']",7,2
"['30 Different Skulltulas', '4 Maps']",6,3
"['30 Different Skulltulas', '4 Unused Keys in Gerudo Training Grounds']",6,4
"['30 Different Skulltulas', '5 Hearts']",7,3
"['30 Different Skulltulas', '5 Magic Beans']",8,1
"['30 Different Skulltulas', '5 Maps']",8,3
"['30 Different Skulltulas', '6 Hearts']",9,2
"['30 Different Skulltulas', '6 Maps']",10,6
"['30 Different Skulltulas', '7 Maps']",13,0
"['30 Different Skulltulas', '7 Songs']",6,1
"['30 Different Skulltulas', '8 Different Unused Keys in Gerudo Training Grounds']",7,2
"['30 Different Skulltulas', 'All 3 Elemental Arrows']",7,1
"['30 Different Skulltulas', 'All 3 Skulltulas in Bottom of the Well']",11,6
"['30 Different Skulltulas', 'All 4 Market area Skulltulas']",8,3
"['30 Different Skulltulas', 'All 4 Wasteland/ Colossus area Skulltulas']",7,1
"['30 Different Skulltulas', 'All 5 Skulltulas in Water Temple']",7,3
"['30 Different Skulltulas', 'Beat Dodongos Cavern']",8,1
"['30 Different Skulltulas', 'Beat the Fire Temple']",8,2
"['30 Different Skulltulas', 'Beat the Water Temple']",6,0
"['30 Different Skulltulas', 'Bolero of Fire']",6,4
"['30 Different Skulltulas', 'Both HPs in Death Mountain Crater']",8,6
"['30 Different Skulltulas', 'Both HPs in Lost Woods']",10,6
"['30 Different Skulltulas', 'Clear 8 Silver Rupee Rooms']",6,2
"['30 Different Skulltulas', 'Defeat Nabooru-Knuckle']",7,3
"['30 Different Skulltulas', 'Fire Medallion']",9,5
"['30 Different Skulltulas', 'Fire Temple Boss Key']",12,6
"['30 Different Skulltulas', 'Forest Temple Boss Key']",7,2
"['30 Different Skulltulas', 'Green Gauntlets']",8,1
"['30 Different Skulltulas', 'Lens of Truth']",6,0
"['30 Different Skulltulas', 'Light Arrows']",12,0
"['30 Different Skulltulas', 'Map & Compass in Bottom of the Well']",6,4
"['30 Different Skulltulas', 'Map & Compass in Dodongos Cavern']",10,4
"['30 Different Skulltulas', 'Megaton Hammer']",6,3
"['30 Different Skulltulas', 'Mirror Shield']",7,3
"['30 Different Skulltulas', 'Nayrus Love']",8,4
"['30 Different Skulltulas', 'Obtain all 5 Small Keys in Shadow Temple']",11,1
"['30 Different Skulltulas', 'Open 2 Boss Key Doors']",8,5
"['30 Different Skulltulas', 'Open 3 Boss Key Doors']",12,2
"['30 Different Skulltulas', 'Open 3 Gold Rupee Chests']",8,1
"['30 Different Skulltulas', 'Open the Final Door of Shadow Trial']",10,2
"['30 Different Skulltulas', 'Open the Final Door of Spirit Trial']",9,1
"['30 Different Skulltulas', 'Open the Final Door of Water Trial']",7,4
"['30 Different Skulltulas', 'Requiem of Spirit']",6,1
"['30 Different Skulltulas', 'Silver Gauntlets']",12,7
"['30 Different Skulltulas', 'Two Fairy Spells']",8,7
"['30 Different Skulltulas', 'Win Bombchu Bowling Prize']",8,6
"['30 Different Skulltulas', 'Zora Tunic']",8,1
"['37th Heart Piece (Child Fortress)', 'All 3 Elemental Arrows']",7,4
"['37th Heart Piece (Child Fortress)', 'Both Rusty Switches in Spirit Temple']",6,1
"['37th Heart Piece (Child Fortress)', 'Green Gauntlets']",8,5
"['4 Compasses', '9 Hearts (no duping)']",6,3
"['4 Compasses', 'All 3 Elemental Arrows']",7,0
"['4 Skulltulas in Shadow Temple', '8 Hearts (no duping)']",6,2
"['4 Skulltulas in Shadow Temple', 'All 3 Elemental Arrows']",11,3
"['4 Skulltulas in Shadow Temple', 'Bullet Bag (50)']",6,0
"['4 Skulltulas in Shadow Temple', 'Green Gauntlets']",7,1
"['4 Skulltulas in Shadow Temple', 'Open All 6 Gold Rupee Chests']",12,1
"['4 Skulltulas in Shadow Temple', 'Two Fairy Spells']",6,0
"['4 Songs', 'All 3 Elemental Arrows']",6,5
"['4 Unused Keys in Forest Temple', 'All 3 Elemental Arrows']",7,4
"['5 Compasses', 'All 3 Elemental Arrows']",9,1
"['5 Hearts', 'All 3 Elemental Arrows']",8,4
"['5 Hearts', 'Free all 9 Gorons in Fire Temple']",6,1
"['5 Hearts', 'Open All 6 Gold Rupee Chests']",6,1
"['5 Magic Beans', '5 Unused Keys in Gerudo Training Grounds']",6,2
"['5 Magic Beans', 'All 3 Elemental Arrows']",12,5
"['5 Magic Beans', 'All 5 Lake Hylia Skulltulas']",6,3
"['5 Magic Beans', 'Defeat Volvagia']",6,1
"['5 Magic Beans', 'Goron Bracelet']",9,1
"['5 Magic Beans', 'Green Gauntlets']",8,2
"['5 Magic Beans', 'Open All 6 Gold Rupee Chests']",11,3
"['5 Maps', 'Defeat Twinrova']",6,1
"['5 Unused Keys in Gerudo Training Grounds', '9 Hearts (no duping)']",6,4
"['5 Unused Keys in Gerudo Training Grounds', 'All 3 Elemental Arrows']",11,4
"['5 Unused Keys in Gerudo Training Grounds', 'Goron Bracelet']",6,0
"['5 Zora area HPs', '9 Hearts (no duping)']",6,7
"['5 Zora area HPs', 'All 3 Elemental Arrows']",6,3
"['5 Zora area HPs', 'Beat the Fire Temple']",7,3
"['5 Zora area HPs', 'Both Rusty Switches in Spirit Temple']",7,0
"['5 Zora area HPs', 'Green Gauntlets']",7,4
"['5 Zora area HPs', 'Map & Compass in Spirit Temple']",8,0
"['5 Zora area HPs', 'Obtain all 5 Small Keys in Shadow Temple']",6,2
"['5 Zora area HPs', 'Open All 6 Gold Rupee Chests']",6,1
"['5 Zora area HPs', 'Quiver (40)']",6,1
"['6 Compasses', 'All 3 Elemental Arrows']",16,11
"['6 Compasses', 'Beat the Spirit Temple']",6,2
"['6 Compasses', 'Open All 6 Gold Rupee Chests']",10,3
"['6 Hearts', 'All 3 Elemental Arrows']",7,0
"['6 Maps', '9 Hearts (no duping)']",6,2
"['6 Maps', 'Defeat Twinrova']",7,1
"['6 Songs', 'Open All 6 Gold Rupee Chests']",6,0
"['7 Compasses', '8 Hearts (no duping)']",13,5
"['7 Compasses', 'All 4 Market area Skulltulas']",7,1
"['7 Compasses', 'All 5 Skulltulas in Fire Temple']",8,3
"['7 Compasses', 'All 5 Skulltulas in Water Temple']",9,2
"['7 Compasses', 'Dins Fire']",11,2
"['7 Compasses', 'Goron Bracelet']",9,2
"['7 Compasses', 'Goron Tunic']",6,1
"['7 Compasses', 'Green Gauntlets']",9,2
"['7 Compasses', 'Open 2 Boss Key Doors']",7,1
"['7 Compasses', 'Open 3 Boss Key Doors']",8,4
"['7 Compasses', 'Open 3 Gold Rupee Chests']",6,2
"['7 Compasses', 'Quiver (50)']",6,1
"['7 Different Bottled Contents', 'All 3 Elemental Arrows']",8,0
"['7 Different Unused Keys in Gerudo Training Grounds', '8 Hearts (no duping)']",6,4
"['7 Different Unused Keys in Gerudo Training Grounds', 'All 3 Elemental Arrows']",10,2
"['7 Different Unused Keys in Gerudo Training Grounds', 'All 4 Market area Skulltulas']",9,3
"['7 Different Unused Keys in Gerudo Training Grounds', 'All 5 Skulltulas in Water Temple']",7,3
"['7 Different Unused Keys in Gerudo Training Grounds', 'Beat the Spirit Temple']",10,1
"['7 Different Unused Keys in Gerudo Training Grounds', 'Both Rusty Switches in Spirit Temple']",11,0
"['7 Different Unused Keys in Gerudo Training Grounds', 'Dins Fire']",7,1
"['7 Different Unused Keys in Gerudo Training Grounds', 'Goron Bracelet']",7,3
"['7 Different Unused Keys in Gerudo Training Grounds', 'Green Gauntlets']",8,0
"['7 Different Unused Keys in Gerudo Training Grounds', 'Map & Compass in Bottom of the Well']",6,1
"['7 Hearts (no duping)', 'All 3 Elemental Arrows']",9,3
"['7 Hearts (no duping)', 'Clear 10 Silver Rupee Rooms']",6,0
"['7 Hearts (no duping)', 'Obtain all 5 Small Keys in Shadow Temple']",6,3
"['7 Maps', '9 Hearts (no duping)']",7,1
"['7 Maps', 'Defeat Twinrova']",7,1
"['7 Songs', 'All 3 Elemental Arrows']",8,1
"['7 Songs', 'Clear 10 Silver Rupee Rooms']",6,1
"['8 Different Unused Keys in Gerudo Training Grounds', 'Free all 9 Gorons in Fire Temple']",6,2
"['8 Hearts (no duping)', 'All 3 Elemental Arrows']",14,5
"['8 Hearts (no duping)', 'All 3 Skulltulas in Bottom of the Well']",6,2
"['8 Hearts (no duping)', 'All 8 Zoras Domain area Skulltulas']",6,2
"['8 Hearts (no duping)', 'Both Rusty Switches in Spirit Temple']",16,1
"['8 Hearts (no duping)', 'Bronze Gauntlets']",7,1
"['8 Hearts (no duping)', 'Clear 10 Silver Rupee Rooms']",9,6
"['8 Hearts (no duping)', 'Fire Temple Boss Key']",7,2
"['8 Hearts (no duping)', 'Goron Tunic']",8,5
"['8 Hearts (no duping)', 'Map & Compass in Spirit Temple']",11,3
"['8 Hearts (no duping)', 'Open All 6 Gold Rupee Chests']",10,2
"['8 Songs', 'Open All 6 Gold Rupee Chests']",7,0
"['9 Hearts (no duping)', 'All 5 Skulltulas in Spirit Temple']",6,0
"['9 Hearts (no duping)', 'All 5 Skulltulas in Water Temple']",6,4
"['9 Hearts (no duping)', 'Beat the Fire Temple']",6,3
"['9 Hearts (no duping)', 'Exactly 20 Deku Sticks']",6,2
"['9 Hearts (no duping)', 'Exactly 30 Deku Sticks']",6,3
"['9 Hearts (no duping)', 'Fire Temple Boss Key']",9,5
"['9 Hearts (no duping)', 'Ganons Castle Boss Key']",6,0
"['9 Hearts (no duping)', 'Gerudos Card']",6,0
"['9 Hearts (no duping)', 'Keaton Mask']",6,1
"['9 Hearts (no duping)', 'Lens of Truth']",6,2
"['9 Hearts (no duping)', 'Megaton Hammer']",6,4
"['9 Hearts (no duping)', 'Obtain all 8 Small Keys in Fire Temple']",6,1
"['9 Hearts (no duping)', 'Open the Final Door of Spirit Trial']",9,3
"['9 Hearts (no duping)', 'Silver Scale']",10,2
"['9 Hearts (no duping)', 'Two Fairy Spells']",7,2
"['9 Songs', 'All 3 Elemental Arrows']",6,1
"['All 3 Elemental Arrows', 'All 3 Skulltulas in Bottom of the Well']",11,1
"['All 3 Elemental Arrows', 'All 3 Skulltulas in Ice Cavern']",6,3
"['All 3 Elemental Arrows', 'All 4 Lost Woods area Skulltulas']",6,3
"['All 3 Elemental Arrows', 'All 4 Market area Skulltulas']",15,3
"['All 3 Elemental Arrows', 'All 4 Skulltulas in Jabu-Jabu']",8,3
"['All 3 Elemental Arrows', 'All 5 Lake Hylia Skulltulas']",16,6
"['All 3 Elemental Arrows', 'All 5 Skulltulas in Dodongos Cavern']",9,3
"['All 3 Elemental Arrows', 'All 5 Skulltulas in Fire Temple']",20,2
"['All 3 Elemental Arrows', 'All 5 Skulltulas in Forest Temple']",6,2
"['All 3 Elemental Arrows', 'All 5 Skulltulas in Spirit Temple']",10,3
"['All 3 Elemental Arrows', 'All 5 Skulltulas in Water Temple']",7,1
"['All 3 Elemental Arrows', 'All 8 Death Mountain area Skulltulas']",12,2
"['All 3 Elemental Arrows', 'All 8 Zoras Domain area Skulltulas']",19,7
"['All 3 Elemental Arrows', 'Beat the Fire Temple']",8,3
"['All 3 Elemental Arrows', 'Blue Fire']",6,0
"['All 3 Elemental Arrows', 'Blue Potion']",9,1
"['All 3 Elemental Arrows', 'Bolero of Fire']",7,1
"['All 3 Elemental Arrows', 'Bomb Bag (30)']",11,0
"['All 3 Elemental Arrows', 'Both HPs in Lost Woods']",10,1
"['All 3 Elemental Arrows', 'Bottled Fairy']",6,0
"['All 3 Elemental Arrows', 'Bronze Gauntlets']",6,0
"['All 3 Elemental Arrows', 'Bullet Bag (50)']",11,0
"['All 3 Elemental Arrows', 'Clear 4 Silver Rupee Rooms']",7,2
"['All 3 Elemental Arrows', 'Clear 8 Silver Rupee Rooms']",14,1
"['All 3 Elemental Arrows', 'Cow in House']",6,0
"['All 3 Elemental Arrows', 'Defeat 4 Different Iron Knuckles']",6,2
"['All 3 Elemental Arrows', 'Defeat Barinade']",7,2
"['All 3 Elemental Arrows', 'Defeat Bongo-Bongo']",6,0
"['All 3 Elemental Arrows', 'Defeat Dark Link']",7,3
"['All 3 Elemental Arrows', 'Defeat Meg (purple Poe)']",9,0
"['All 3 Elemental Arrows', 'Defeat Morpha']",7,2
"['All 3 Elemental Arrows', 'Defeat Nabooru-Knuckle']",6,0
"['All 3 Elemental Arrows', 'Defeat Volvagia']",17,2
"['All 3 Elemental Arrows', 'Desert Colossus HP']",6,2
"['All 3 Elemental Arrows', 'Dins Fire']",11,0
"['All 3 Elemental Arrows', 'Exactly 20 Deku Sticks']",9,3
"['All 3 Elemental Arrows', 'Exactly 30 Deku Sticks']",15,7
"['All 3 Elemental Arrows', 'Fire Medallion']",10,6
"['All 3 Elemental Arrows', 'Fire Temple Boss Key']",10,6
"['All 3 Elemental Arrows', 'Forest Temple Boss Key']",7,2
"['All 3 Elemental Arrows', 'Free all 9 Gorons in Fire Temple']",12,3
"['All 3 Elemental Arrows', 'Frogs HP']",6,1
"['All 3 Elemental Arrows', 'Ganons Castle Boss Key']",8,0
"['All 3 Elemental Arrows', 'Gerudos Card']",10,1
"['All 3 Elemental Arrows', 'Giants Knife']",7,1
"['All 3 Elemental Arrows', 'Golden Gauntlets']",6,2
"['All 3 Elemental Arrows', 'Goron Bracelet']",15,2
"['All 3 Elemental Arrows', 'Goron Tunic']",7,2
"['All 3 Elemental Arrows', 'Green Gauntlets']",24,8
"['All 3 Elemental Arrows', 'Ice Cavern HP']",8,0
"['All 3 Elemental Arrows', 'Iron Boots']",6,0
"['All 3 Elemental Arrows', 'Keaton Mask']",7,0
"['All 3 Elemental Arrows', 'Lon Lon Ranch HP']",6,3
"['All 3 Elemental Arrows', 'Longshot']",6,3
"['All 3 Elemental Arrows', 'Map & Compass in Bottom of the Well']",8,1
"['All 3 Elemental Arrows', 'Map & Compass in Forest Temple']",12,3
"['All 3 Elemental Arrows', 'Map & Compass in Ice Cavern']",7,5
"['All 3 Elemental Arrows', 'Map & Compass in Jabu-Jabu']",9,3
"['All 3 Elemental Arrows', 'Map & Compass in Shadow Temple']",6,1
"['All 3 Elemental Arrows', 'Megaton Hammer']",11,2
"['All 3 Elemental Arrows', 'Milk']",6,1
"['All 3 Elemental Arrows', 'Mirror Shield']",8,4
"['All 3 Elemental Arrows', 'Nayrus Love']",6,2
"['All 3 Elemental Arrows', 'Obtain all 5 Small Keys in Forest Temple']",10,4
"['All 3 Elemental Arrows', 'Obtain all 5 Small Keys in Shadow Temple']",9,1
"['All 3 Elemental Arrows', 'Obtain all 8 Small Keys in Fire Temple']",8,1
"['All 3 Elemental Arrows', 'Open 3 Gold Rupee Chests']",10,3
"['All 3 Elemental Arrows', 'Open 5 Gold Rupee Chests']",10,3
"['All 3 Elemental Arrows', 'Open the Final Door of Fire Trial']",6,1
"['All 3 Elemental Arrows', 'Open the Final Door of Spirit Trial']",11,1
"['All 3 Elemental Arrows', 'Plant 5 Magic Beans']",6,4
