goal combination,count,pick count
"['7 Different Unused Keys in Gerudo Training Grounds', 'All 3 Elemental Arrows']",6,2
"['7 Different Unused Keys in Gerudo Training Grounds', 'All 4 Market area Skulltulas']",6,3
"['7 Different Unused Keys in Gerudo Training Grounds', 'All 5 Skulltulas in Water Temple']",6,2
"['7 Different Unused Keys in Gerudo Training Grounds', 'Both Rusty Switches in Spirit Temple']",9,0
"['7 Different Unused Keys in Gerudo Training Grounds', 'Dins Fire']",6,1
"['7 Hearts (no duping)', 'All 3 Elemental Arrows']",6,1
"['7 Maps', '9 Hearts (no duping)']",6,0
"['7 Maps', 'Defeat Twinrova']",6,1
"['8 Different Unused Keys in Gerudo Training Grounds', 'Free all 9 Gorons in Fire Temple']",6,2
"['8 Hearts (no duping)', 'All 3 Elemental Arrows']",11,3
"['8 Hearts (no duping)', 'Both Rusty Switches in Spirit Temple']",12,1
"['8 Hearts (no duping)', 'Goron Tunic']",6,3
"['8 Hearts (no duping)', 'Open All 6 Gold Rupee Chests']",6,2
"['9 Hearts (no duping)', 'Exactly 30 Deku Sticks']",6,3
"['9 Hearts (no duping)', 'Fire Temple Boss Key']",6,5
"['9 Hearts (no duping)', 'Open the Final Door of Spirit Trial']",8,3
"['9 Hearts (no duping)', 'Silver Scale']",7,0
"['9 Hearts (no duping)', 'Two Fairy Spells']",7,2
"['9 Songs', 'All 3 Elemental Arrows']",6,1
"['All 3 Elemental Arrows', 'All 3 Skulltulas in Bottom of the Well']",10,1
"['All 3 Elemental Arrows', 'All 5 Lake Hylia Skulltulas']",9,2
"['All 3 Elemental Arrows', 'All 5 Skulltulas in Dodongos Cavern']",7,3
"['All 3 Elemental Arrows', 'All 5 Skulltulas in Fire Temple']",13,1
"['All 3 Elemental Arrows', 'All 5 Skulltulas in Water Temple']",6,0
"['All 3 Elemental Arrows', 'All 8 Death Mountain area Skulltulas']",10,2
"['All 3 Elemental Arrows', 'All 8 Zoras Domain area Skulltulas']",8,1
"['All 3 Elemental Arrows', 'Beat the Fire Temple']",6,3
"['All 3 Elemental Arrows', 'Both HPs in Lost Woods']",10,1
"['All 3 Elemental Arrows', 'Clear 8 Silver Rupee Rooms']",8,1
"['All 3 Elemental Arrows', 'Defeat Meg (purple Poe)']",9,0
"['All 3 Elemental Arrows', 'Defeat Volvagia']",11,2
"['All 3 Elemental Arrows', 'Dins Fire']",6,0
"['All 3 Elemental Arrows', 'Exactly 30 Deku Sticks']",8,4
"['All 3 Elemental Arrows', 'Fire Temple Boss Key']",8,3
"['All 3 Elemental Arrows', 'Free all 9 Gorons in Fire Temple']",9,3
"['All 3 Elemental Arrows', 'Ganons Castle Boss Key']",6,0
"['All 3 Elemental Arrows', 'Gerudos Card']",6,1
"['All 3 Elemental Arrows', 'Goron Bracelet']",9,2
"['All 3 Elemental Arrows', 'Green Gauntlets']",11,6
"['All 3 Elemental Arrows', 'Ice Cavern HP']",6,0
"['All 3 Elemental Arrows', 'Map & Compass in Bottom of the Well']",6,1
"['All 3 Elemental Arrows', 'Map & Compass in Forest Temple']",8,2
"['All 3 Elemental Arrows', 'Megaton Hammer']",6,1
"['All 3 Elemental Arrows', 'Obtain all 5 Small Keys in Shadow Temple']",7,1
"['All 3 Elemental Arrows', 'Open 3 Gold Rupee Chests']",7,2
"['All 3 Elemental Arrows', 'Open 5 Gold Rupee Chests']",8,1
"['All 3 Elemental Arrows', 'Open the Final Door of Spirit Trial']",7,0
"['All 3 Elemental Arrows', 'Quiver (50)']",6,0
"['All 3 Elemental Arrows', 'Sarias Song']",7,2
"['All 3 Elemental Arrows', 'Silver Scale']",6,1
"['All 3 Elemental Arrows', 'Two Fairy Spells']",11,2
"['All 3 Skulltulas in Bottom of the Well', 'Open 3 Boss Key Doors']",6,4
"['All 3 Skulltulas in Bottom of the Well', 'Quiver (50)']",6,0
"['All 4 Child Skulltulas in Zoras Domain Area', 'Both Rusty Switches in Spirit Temple']",7,1
"['All 4 Child Skulltulas in Zoras Domain Area', 'Goron Tunic']",6,2
"['All 5 Lake Hylia Skulltulas', 'Defeat Twinrova']",6,0
"['All 5 Lake Hylia Skulltulas', 'Defeat Volvagia']",7,2
"['All 5 Lake Hylia Skulltulas', 'Goron Tunic']",6,0
"['All 5 Skulltulas in Dodongos Cavern', 'All 5 Skulltulas in Water Temple']",6,4
"['All 5 Skulltulas in Fire Temple', 'Clear 10 Silver Rupee Rooms']",6,2
"['All 5 Skulltulas in Water Temple', 'Bolero of Fire']",7,0
"['All 5 Skulltulas in Water Temple', 'Both Rusty Switches in Spirit Temple']",10,0
"['All 5 Skulltulas in Water Temple', 'Clear 10 Silver Rupee Rooms']",8,0
"['All 5 Skulltulas in Water Temple', 'Defeat Twinrova']",7,2
"['All 5 Skulltulas in Water Temple', 'Megaton Hammer']",6,4
"['Beat the Fire Temple', 'Beat the Spirit Temple']",6,1
"['Beat the Water Temple', 'Green Gauntlets']",6,1
"['Both HPs in Lost Woods', 'Bullet Bag (50)']",7,0
"['Both Rusty Switches in Spirit Temple', 'Dins Fire']",9,0
"['Both Rusty Switches in Spirit Temple', 'Goron Bracelet']",6,0
"['Both Rusty Switches in Spirit Temple', 'Map & Compass in Bottom of the Well']",9,4
"['Both Rusty Switches in Spirit Temple', 'Minuet of Forest']",6,1
"['Both Rusty Switches in Spirit Temple', 'Obtain all 5 Small Keys in Shadow Temple']",8,4
"['Both Rusty Switches in Spirit Temple', 'Open the Final Door of Spirit Trial']",7,1
"['Both Rusty Switches in Spirit Temple', 'Quiver (50)']",13,5
"['Bronze Gauntlets', 'Two Fairy Spells']",6,2
"['Bullet Bag (50)', 'Clear 10 Silver Rupee Rooms']",8,1
"['Bullet Bag (50)', 'Open All 6 Gold Rupee Chests']",7,2
"['Clear 10 Silver Rupee Rooms', 'Desert Colossus HP']",6,0
"['Clear 10 Silver Rupee Rooms', 'Map & Compass in Dodongos Cavern']",6,1
"['Clear 10 Silver Rupee Rooms', 'Open the Final Door of Spirit Trial']",6,3
"['Defeat Meg (purple Poe)', 'Open All 6 Gold Rupee Chests']",7,3
"['Exactly 30 Deku Sticks', 'Goron Bracelet']",6,2
"['Exactly 30 Deku Sticks', 'Open All 6 Gold Rupee Chests']",8,6
"['Exactly 30 Deku Sticks', 'Two Fairy Spells']",6,2
"['Goron Bracelet', 'Open All 6 Gold Rupee Chests']",7,1
"['Green Gauntlets', 'Open All 6 Gold Rupee Chests']",6,6
"['Lens of Truth', 'Open All 6 Gold Rupee Chests']",6,1
"['Map & Compass in Forest Temple', 'Two Fairy Spells']",6,1
"['Obtain all 8 Small Keys in Fire Temple', 'Two Fairy Spells']",6,1
"['Open All 6 Gold Rupee Chests', 'Open the Final Door of Spirit Trial']",6,2
"['Open All 6 Gold Rupee Chests', 'Quiver (50)']",6,1
"['Open All 6 Gold Rupee Chests', 'Silver Gauntlets']",6,0
